word,condition,result,reaction_time
babones,non-word,correct,1.3786299228668213
serendipity,rare,correct,1.552145004272461
linguiettalies,non-word,correct,1.250553846359253
wortibutiously,non-word,incorrect,0.6404640674591064
green,common,incorrect,0.9410750865936279
halfpace,rare,correct,0.5088717937469482
garden,common,incorrect,0.219221830368042
callent,non-word,incorrect,0.821558952331543
phonalle,non-word,correct,0.21724295616149902
corrot,non-word,incorrect,0.3921229839324951
apple,common,incorrect,0.12070107460021973
grommet,rare,correct,0.2695319652557373
